"subgroup"	"trait"	"N"	"BM.lnL"	"BM.sig2"	"BM.z0"	"BM.AICc"	"BM.conv"	"OU.lnL"	"OU.sig2"	"OU.alpha"	"OU.z0"	"OU.AICc"	"OU.conv"	"EB.lnL"	"EB.sig2"	"EB.alpha"	"EB.z0"	"EB.AICc"	"EB.conv"	"MCgeo.dietmap"	"MCgeo.lnL"	"MCgeo.sig2"	"MCgeo.S"	"MCgeo.z0"	"MCgeo.AICc"	"MCgeo.conv"	"DDlingeo.dietmap"	"DDlingeo.lnL"	"DDlingeo.sig2"	"DDlingeo.b"	"DDlingeo.z0"	"DDlingeo.AICc"	"DDlingeo.conv"	"DDexpgeo.dietmap"	"DDexpgeo.lnL"	"DDexpgeo.sig2"	"DDexpgeo.r"	"DDexpgeo.z0"	"DDexpgeo.AICc"	"DDexpgeo.conv"	"BM.delaic"	"OU.delaic"	"EB.delaic"	"MCgeo.delaic"	"DDlingeo.delaic"	"DDexpgeo.delaic"	"BM.wi"	"OU.wi"	"EB.wi"	"MCgeo.wi"	"DDlingeo.wi"	"DDexpgeo.wi"
"Fruit"	"Brain.log"	"132"	"-28.2683907789108"	"0.0103263577511241"	"10.058136961544"	"60.6298048136356"	"0"	"-28.2683907789107"	"0.0103263575860165"	"1.43872205412269e-17"	"10.058136961544"	"62.7242815578214"	"0"	"-12.5461188353495"	"2.51128211229595"	"-0.0865264289010847"	"10.1849477800659"	"31.2797376706989"	"0"	NA	"-13.0605617325929"	"0.00570596701644494"	"-0.0389088439206832"	"10.0765942943586"	"32.2963059469377"	"0"	NA	"-21.7055771818054"	"0.0142808078702293"	"-0.000340019179427726"	"10.0695698078235"	"49.5863368453626"	"0"	NA	"-17.0858930495549"	"0.0267184368614826"	"-0.0876080702770724"	"10.0944546668248"	"40.3469685808616"	"0"	"29.3500671429367"	"31.4445438871225"	"0"	"1.01656827623876"	"18.3065991746637"	"9.06723091016264"	"2.62571648676788e-07"	"9.21378310985587e-08"	"0.620203100366583"	"0.373068805400576"	"6.56608394822157e-05"	"0.00666207868387925"
"Fruit"	"Brain.log"	"132"	"-28.2683907789108"	"0.0103263577511241"	"10.058136961544"	"60.6298048136356"	"0"	"-28.2683907789107"	"0.010326357660324"	"2.16728332390725e-47"	"10.058136961544"	"62.7242815578214"	"0"	"-12.5461188353469"	"2.51128459296582"	"-0.0865264378001523"	"10.184947787538"	"31.2797376706938"	"0"	NA	"-15.1571009843499"	"0.0059715078312171"	"-0.0399728434377471"	"10.1784225359529"	"36.490672556935"	"0"	NA	"-21.9872834348206"	"0.0145806993229751"	"-0.000355626756504859"	"10.0535873547075"	"50.1510374578765"	"0"	NA	"-17.9640011059438"	"0.0247950603083373"	"-0.0804610952702973"	"10.0510448564212"	"42.1044728001229"	"0"	"29.3500671429418"	"31.4445438871276"	"0"	"5.21093488624122"	"18.8712997871827"	"10.8247351294291"	"3.92581622729657e-07"	"1.37759043787661e-07"	"0.927291049096527"	"0.0684976913641963"	"7.40227790250839e-05"	"0.00413670641958484"
"Fruit"	"Brain.log"	"132"	"-28.2683907789108"	"0.0103263577511241"	"10.058136961544"	"60.6298048136356"	"0"	"-28.2683907789107"	"0.0103263575860165"	"1.43872205412269e-17"	"10.058136961544"	"62.7242815578214"	"0"	"-12.5461188353531"	"2.51128421898817"	"-0.086526444209675"	"10.1849477929197"	"31.2797376707061"	"0"	NA	"-7.69485638855147"	"0.00492436906702172"	"-0.0473518548776536"	"10.1034337010607"	"21.5688172547149"	"0"	NA	"-21.9247643943485"	"0.0142927640773451"	"-0.00034030383024273"	"10.0570324772542"	"50.028633266309"	"0"	NA	"-18.0998550529723"	"0.0249061966036753"	"-0.0808590267942931"	"10.0604873470213"	"42.3788145835565"	"0"	"39.0609875589208"	"41.1554643031066"	"9.71092041599124"	"0"	"28.4598160115941"	"20.8099973288416"	"3.27064022817746e-09"	"1.14768558771139e-09"	"0.00772536265782826"	"0.992243931428981"	"6.55613558585594e-07"	"3.00458813063895e-05"
"Fruit"	"Brain.log"	"132"	"-28.2683907789108"	"0.0103263577511241"	"10.058136961544"	"60.6298048136356"	"0"	"-28.2683907789107"	"0.0103263575860165"	"1.43872205412269e-17"	"10.058136961544"	"62.7242815578214"	"0"	"-12.5461188353564"	"2.51127854973299"	"-0.0865264104150342"	"10.1849477645443"	"31.2797376707128"	"0"	NA	"-13.7352071080837"	"0.00580068590349064"	"-0.0379340045518467"	"10.0881462919759"	"33.6468848044028"	"0"	NA	"-21.714430332596"	"0.0144479334764136"	"-0.000343998414342315"	"10.0580658841038"	"49.6053312534272"	"0"	NA	"-17.1008998254122"	"0.0262185392670495"	"-0.0839542727884208"	"10.0672128081184"	"40.3782702390597"	"0"	"29.3500671429228"	"31.4445438871086"	"0"	"2.36714713368994"	"18.3255935827144"	"9.09853256834691"	"3.21494314141462e-07"	"1.12814117460091e-07"	"0.759380425815972"	"0.232509086216734"	"7.96356103673478e-05"	"0.00803041804849567"
"Fruit"	"Brain.log"	"132"	"-28.2683907789108"	"0.0103263577511241"	"10.058136961544"	"60.6298048136356"	"0"	"-28.2683907789107"	"0.0103263575860165"	"1.43872205412269e-17"	"10.058136961544"	"62.7242815578214"	"0"	"-12.5461188353467"	"2.51128519888335"	"-0.0865264451483147"	"10.1849477937078"	"31.2797376706934"	"0"	NA	"-10.9845085226972"	"0.00535361372204497"	"-0.0443530484713085"	"10.1040795458301"	"28.1494681732139"	"0"	NA	"-20.5780477721098"	"0.0142204886917903"	"-0.000346841186436725"	"10.0660187802276"	"47.3365466720391"	"0"	NA	"-14.417114596517"	"0.0297170987771412"	"-0.0998167239115021"	"10.0921422475602"	"35.0146803208535"	"0"	"32.4803366404218"	"34.5748133846076"	"3.13026949747951"	"0"	"19.1870784988252"	"6.86521214763963"	"7.12954813861421e-08"	"2.50179753036967e-08"	"0.168402334451449"	"0.805522159910397"	"5.49106183597589e-05"	"0.0260204987063374"
"Fruit"	"Brain.log"	"132"	"-28.2683907789108"	"0.0103263577511241"	"10.058136961544"	"60.6298048136356"	"0"	"-28.2683907789107"	"0.0103263575860165"	"1.43872205412269e-17"	"10.058136961544"	"62.7242815578214"	"0"	"-12.5461188353663"	"2.51130006018948"	"-0.0865265397698095"	"10.1849478731558"	"31.2797376707326"	"0"	NA	"-11.2373293049998"	"0.00573316686075543"	"-0.0352109578794145"	"10.0857073085201"	"28.6511291982348"	"0"	NA	"-22.300625490925"	"0.0143228707198886"	"-0.000341020707771961"	"10.0629498534581"	"50.7777215700853"	"0"	NA	"-18.7464741435801"	"0.0244585668537448"	"-0.0794012980696357"	"10.0773124753108"	"43.6694188753956"	"0"	"31.9786756154008"	"34.0731523595866"	"2.62860847249782"	"0"	"22.1265923718505"	"15.0182896771607"	"8.96148910804238e-08"	"3.14463566035939e-08"	"0.211673398732289"	"0.787882329768282"	"1.23518746374294e-05"	"0.000431798563543356"
"Fruit"	"Brain.log"	"132"	"-28.2683907789108"	"0.0103263577511241"	"10.058136961544"	"60.6298048136356"	"0"	"-28.2683907789107"	"0.0103263578275571"	"2.58012312487271e-166"	"10.058136961544"	"62.7242815578214"	"0"	"-12.5461188353496"	"2.51128246999304"	"-0.0865264226742588"	"10.1849477748376"	"31.2797376706992"	"0"	NA	"-10.3430497152984"	"0.00552883769683019"	"-0.03700870021644"	"10.1046492545277"	"26.8638772083745"	"0"	NA	"-21.9576296260348"	"0.0145697775316126"	"-0.000355360416160123"	"10.0624496870376"	"50.0930370298474"	"0"	NA	"-17.6576039332606"	"0.0266243986096413"	"-0.085566264411928"	"10.0774721730051"	"41.492985644299"	"0"	"33.7659276052611"	"35.8604043494469"	"4.41586046232471"	"0"	"23.2291598214729"	"14.6291084359245"	"4.19047460611207e-08"	"1.47046051402158e-08"	"0.0989804251835645"	"0.900411909935709"	"8.13379581548308e-06"	"0.000599474475560234"
"Fruit"	"Brain.log"	"132"	"-28.2683907789108"	"0.0103263577511241"	"10.058136961544"	"60.6298048136356"	"0"	"-28.2683907789107"	"0.0103263575860165"	"1.43872205412269e-17"	"10.058136961544"	"62.7242815578214"	"0"	"-12.5461188353468"	"2.51128301536731"	"-0.0865264302072289"	"10.1849477811626"	"31.2797376706935"	"0"	NA	"-7.1614405085556"	"0.00501223627842395"	"-0.0431049390380132"	"10.1232358137498"	"20.500658794889"	"0"	NA	"-22.3124183792989"	"0.0148147567099051"	"-0.000361335504662558"	"10.0625204188342"	"50.8026145363755"	"0"	NA	"-18.3197880410153"	"0.0264347866679961"	"-0.0827410385468987"	"10.0776428310287"	"42.8173538598083"	"0"	"40.1291460187467"	"42.2236227629325"	"10.7790788758046"	"0"	"30.3019557414866"	"22.3166950649193"	"1.92345814110305e-09"	"6.74952007283365e-10"	"0.00454327307823367"	"0.995442271672615"	"2.61836383902434e-07"	"1.41908143575855e-05"
"Fruit"	"Brain.log"	"132"	"-28.2683907789108"	"0.0103263577511241"	"10.058136961544"	"60.6298048136356"	"0"	"-28.2683907789107"	"0.0103263578938205"	"8.11733738672004e-18"	"10.058136961544"	"62.7242815578214"	"0"	"-12.5461188353568"	"2.51127484770725"	"-0.0865263860316579"	"10.184947744071"	"31.2797376707136"	"0"	NA	"-10.0572049231043"	"0.00531334878050594"	"-0.0436676082618776"	"10.1263265628512"	"26.290880434444"	"0"	NA	"-22.5306211687196"	"0.0142039194817072"	"-0.000346437045834047"	"10.0556064254559"	"51.2377129256745"	"0"	NA	"-19.0495466521202"	"0.0237188833048129"	"-0.0772656046962743"	"10.0584448346002"	"44.2755638924758"	"0"	"34.3389243791917"	"36.4334011233775"	"4.9888572362696"	"0"	"24.9468324912305"	"17.9846834580318"	"3.22775434873438e-08"	"1.13263669748827e-08"	"0.0762406476243879"	"0.923640911318237"	"3.53482009432931e-06"	"0.000114862633370664"
"Fruit"	"Brain.log"	"132"	"-28.2683907789108"	"0.0103263577511241"	"10.058136961544"	"60.6298048136356"	"0"	"-28.2683907789107"	"0.0103263577064849"	"8.21718440499577e-146"	"10.058136961544"	"62.7242815578214"	"0"	"-12.5461188353473"	"2.51128274860677"	"-0.086526426853124"	"10.1849477783464"	"31.2797376706946"	"0"	NA	"-7.21403921040962"	"0.0049977646884794"	"-0.0459772575588112"	"10.1099211275086"	"20.6071828984312"	"0"	NA	"-21.747448618592"	"0.0144695179359506"	"-0.000352915029784462"	"10.059107648623"	"49.6740017147959"	"0"	NA	"-17.5123316308161"	"0.0255782716583652"	"-0.0831676597319515"	"10.0720104278826"	"41.2037677392442"	"0"	"40.0226219152045"	"42.1170986593903"	"10.6725547722634"	"0"	"29.0668188163647"	"20.596584840813"	"2.02813906222241e-09"	"7.11685116428791e-10"	"0.00479053294865054"	"0.995175450855156"	"4.85422770949532e-07"	"3.35280335979044e-05"
