TaxonName;TaxonGroup;HRoverlap;GS;Dindex;N;s;Mindex;nM;nF;SocialSystem;Activity;Substrate;Habitat;PropLeaves;M_Dispersal;F_Dispersal;ID.LSex;n.LSex;Dis.LSex
Cercopithecus neglectus;Cercopithecini;0.1475;8.15;1.70048936;1;0.1;0.615238117;1;2.15;sM-mF;Diurnal;Terrestrial;Wooded;0.2055;Dispersal;Philopatry;Male;One;Dispersal
Cercopithecus nictitans;Cercopithecini;0;11.3;NA;1;0.1;NA;1;3;sM-mF;Diurnal;Arboreal;Wooded;0.1;Dispersal;Philopatry;NA;NA;NA
Cercopithecus petaurista;Cercopithecini;0.645;11.3;1.123340212;1;0.1;0.120065959;1.16;5.666667;sM-mF;Diurnal;Arboreal;Wooded;0.4;Dispersal;Philopatry;NA;NA;NA
Chlorocebus djamdjamensis;Cercopithecini;0.07;55;2.109459166;1;0.05;0.239753124;5;NA;mM-mF;Diurnal;Terrestrial;Wooded;0.813;Dispersal;Philopatry;NA;Multiple;NA
Chlorocebus pygerythrus;Cercopithecini;0.32;21.19333333;1.717124345;1;0.1;0.195220711;2.823333333;6.51;mM-mF;Diurnal;Terrestrial;Open;0.172;Dispersal;Philopatry;Male;Multiple;Dispersal
Chlorocebus sabaeus;Cercopithecini;0.1;23;1.006346574;1;0.1;0.066847091;4.5;7;mM-mF;Diurnal;Terrestrial;Open;0.37;Dispersal;Philopatry;Male;Multiple;Dispersal
Colobus angolensis;Colobinae;1;13.9;0.452284291;1;0.1;0.020809876;3.5;7;mM-mF;Diurnal;Arboreal;Wooded;0.473;Dispersal;Dispersal;Male;Multiple;Dispersal
Colobus guereza;Colobinae;0.5632;10.528;0.880192072;1;0.1;0.134192517;1.774285714;3.311428571;sM-mF;Diurnal;Arboreal;Wooded;0.553125;Dispersal;Philopatry;Male;One;Dispersal
Colobus polykomos;Colobinae;0.205;13.6;0.903519732;1;0.1;0.11267742;2.1;4.35;mM-mF;Diurnal;Arboreal;Wooded;0.53;Dispersal;Dispersal;Male;Multiple;Dispersal
Colobus satanas;Colobinae;0.65;17;0.315433071;1;0.1;0.011678172;3.5;NA;mM-mF;Diurnal;Arboreal;Wooded;0.362;Dispersal;Dispersal;Male;Multiple;Dispersal
Colobus vellerosus;Colobinae;0.8225;21.6;0.946455431;1;0.1;0.249520301;4;7.6;mM-mF;Diurnal;Arboreal;Wooded;0.79;Dispersal;Philopatry;Male;Multiple;Dispersal
Erythrocebus patas;Cercopithecini;0.255;43.15;0.803372922;1;0.1;0.017883293;1.825;12;sM-mF;Diurnal;Terrestrial;Open;0.036666667;Dispersal;Philopatry;Male;One;Dispersal
Eulemur fulvus rufus;Lemuriformes;0.75;7.856666667;1.199994971;1;0.1;0.153899667;3.74;2.75;mM-mF;Nocturnal/Cathemeral;Arboreal;Wooded;0.556133333;Dispersal;Philopatry;Male;Multiple;Dispersal
Eulemur macaco flavifrons;Lemuriformes;0.4594;8.5;2.27808028;1;0.1;0.804347452;2.25;2;mM-mF;Nocturnal/Cathemeral;Terrestrial;Wooded;0.183;Dispersal;Philopatry;Female;Multiple;Philopatry
Eulemur mongoz;Lemuriformes;0.4;4;6.220722968;1;0.1;3.26560289;1;1;sM-sF;Nocturnal/Cathemeral;Arboreal;Wooded;0.255;Dispersal;Dispersal;Female;One;Dispersal
Eulemur rubriventer;Lemuriformes;0;3.375;0.902715938;1;0.05;0.091767575;1;1;sM-sF;Nocturnal/Cathemeral;Arboreal;Wooded;0.07825;Dispersal;Dispersal;Male;One;Dispersal
Gorilla beringei;Hominoidea;0.732;12.465;0.138274491;1;0.1;0.002774154;1.4525;5.24;sM-mF;Diurnal;Terrestrial;Wooded;0.404666667;Dispersal;Dispersal;Male;One;Dispersal
Gorilla gorilla gorilla;Hominoidea;0.635;18.725;0.164699993;1;0.1;0.003419279;1.4;5.325;sM-mF;Diurnal;Terrestrial;Wooded;0.17;Dispersal;Dispersal;Male;One;Dispersal
Hapalemur aureus;Lemuriformes;0.051;2.75;NA;1;0.1;NA;1;1;sM-sF;Diurnal;Arboreal;Wooded;0.91;Dispersal;Dispersal;Male;One;Dispersal
Hapalemur griseus;Lemuriformes;0.03;4;1.357300014;1;0.1;0.310581201;1;2;sM-mF;Diurnal;Arboreal;Wooded;0.92;Dispersal;Dispersal;Female;Multiple;Dispersal
Hylobates agilis;Hominoidea;0.24;4.428571429;2.002795099;1;0.1;0.329596402;1;1;sM-sF;Diurnal;Arboreal;Wooded;0.39;Dispersal;Dispersal;NA;NA;NA
Hylobates klossii;Hominoidea;0.33;3.7;2.315923265;1;0.1;0.355669799;1;1;sM-sF;Diurnal;Arboreal;Wooded;0.02;Dispersal;Dispersal;Female;One;Dispersal
Hylobates lar;Hominoidea;0.166666667;3.978787879;1.666311274;1;0.1;0.268940282;1.488636364;1;sM-sF;Diurnal;Arboreal;Wooded;0.273333333;Dispersal;Dispersal;Male;One;Dispersal
