"subgroup"	"trait"	"N"	"BM.lnL"	"BM.sig2"	"BM.z0"	"BM.AICc"	"BM.conv"	"OU.lnL"	"OU.sig2"	"OU.alpha"	"OU.z0"	"OU.AICc"	"OU.conv"	"EB.lnL"	"EB.sig2"	"EB.alpha"	"EB.z0"	"EB.AICc"	"EB.conv"	"MCgeo.dietmap"	"MCgeo.lnL"	"MCgeo.sig2"	"MCgeo.S"	"MCgeo.z0"	"MCgeo.AICc"	"MCgeo.conv"	"DDlingeo.dietmap"	"DDlingeo.lnL"	"DDlingeo.sig2"	"DDlingeo.b"	"DDlingeo.z0"	"DDlingeo.AICc"	"DDlingeo.conv"	"DDexpgeo.dietmap"	"DDexpgeo.lnL"	"DDexpgeo.sig2"	"DDexpgeo.r"	"DDexpgeo.z0"	"DDexpgeo.AICc"	"DDexpgeo.conv"	"BM.delaic"	"OU.delaic"	"EB.delaic"	"MCgeo.delaic"	"DDlingeo.delaic"	"DDexpgeo.delaic"	"BM.wi"	"OU.wi"	"EB.wi"	"MCgeo.wi"	"DDlingeo.wi"	"DDexpgeo.wi"
"Fruit"	"EQ.log"	"112"	"-5.29401964108508"	"0.00716649457946384"	"-0.0497752048313123"	"14.6981310252894"	"0"	"5.40599043374832"	"0.0104702975301219"	"0.0530725821861496"	"-0.0540586812909952"	"-4.58975864527442"	"0"	"-5.29423147646093"	"0.00716699862953261"	"-1e-06"	"-0.0497747147930686"	"16.8106851751441"	"0"	NA	"-5.29405981555679"	"0.00715869698502801"	"-3.32726502060125e-08"	"-0.0497751976404086"	"16.7881196311136"	"0"	NA	"1.73274628344166"	"0.000701862658649392"	"0.000501391726923194"	"-0.0635914529562679"	"2.73450743311669"	"0"	NA	"1.74624499473236"	"0.00230317434509888"	"0.0742894109548547"	"-0.0654845071864476"	"2.70751001053527"	"0"	"19.2878896705638"	"0"	"21.4004438204185"	"21.377878276388"	"7.3242660783911"	"7.29726865580969"	"6.16238499594131e-05"	"0.950738001386257"	"2.14295732442223e-05"	"2.16727273803887e-05"	"0.0244127487933015"	"0.0247445236698573"
"Fruit"	"EQ.log"	"112"	"-5.29401964108508"	"0.00716649457946384"	"-0.0497752048313123"	"14.6981310252894"	"0"	"5.40599043374832"	"0.0104702975301219"	"0.0530725821861496"	"-0.0540586812909952"	"-4.58975864527442"	"0"	"-5.29423147646093"	"0.00716699856952722"	"-1e-06"	"-0.0497747147930686"	"16.8106851751441"	"0"	NA	"-5.29402206300037"	"0.0071647555275582"	"-3.75065472809514e-09"	"-0.049775203426241"	"16.7914339565092"	"0"	NA	"1.76214299839869"	"0.00233979729303867"	"0.000353777793714815"	"-0.068786236719173"	"2.6791038337111"	"0"	NA	"3.11211782790494"	"0.00201565007614185"	"0.0800592798939877"	"-0.0799974670742782"	"-0.0208458253014031"	"0"	"19.2878896705638"	"0"	"21.4004438204185"	"21.3811926017836"	"7.26886247898551"	"4.56891281997301"	"5.74445170664698e-05"	"0.886258897851154"	"1.9976218408387e-05"	"2.01694300806715e-05"	"0.0233962997189717"	"0.0902472122643191"
"Fruit"	"EQ.log"	"112"	"-5.29401964108508"	"0.00716649457946384"	"-0.0497752048313123"	"14.6981310252894"	"0"	"5.40599043374832"	"0.0104702975301219"	"0.0530725821861496"	"-0.0540586812909952"	"-4.58975864527442"	"0"	"-5.29423147646095"	"0.00716699834643334"	"-1e-06"	"-0.0497747147930686"	"16.8106851751441"	"0"	NA	"-5.29402227031264"	"0.00716629680219627"	"-1.18842454615745e-08"	"-0.0497751987057327"	"16.7880445406253"	"0"	NA	"3.35399106531743"	"0.000338500794670661"	"0.000520165148412868"	"-0.083430853737154"	"-0.507982130634861"	"0"	NA	"3.5358829687712"	"0.00187878129141265"	"0.0857010264542264"	"-0.0838489335776706"	"-0.871765937542409"	"0"	"19.2878896705638"	"0"	"21.4004438204185"	"21.3778031858997"	"4.08177651463955"	"3.71799270773201"	"5.04076981618358e-05"	"0.777694256954567"	"1.75291784032181e-05"	"1.77287416927568e-05"	"0.101032798697081"	"0.121187278730094"
"Fruit"	"EQ.log"	"112"	"-5.29401964108508"	"0.00716649457946384"	"-0.0497752048313123"	"14.6981310252894"	"0"	"5.40599043374832"	"0.0104702975301219"	"0.0530725821861496"	"-0.0540586812909952"	"-4.58975864527442"	"0"	"-5.29423147646093"	"0.00716699859856286"	"-1e-06"	"-0.0497747147930686"	"16.8106851751441"	"0"	NA	"-5.2940224690219"	"0.00716629680219627"	"-1.18842454615745e-08"	"-0.0497752020690248"	"16.7914347685523"	"0"	NA	"0.70565508137922"	"0.00201433831265712"	"0.000391714146784279"	"-0.0791864452316465"	"4.79207966775004"	"0"	NA	"1.91601418136219"	"0.0024538407262417"	"0.0712287414825041"	"-0.0815945784439835"	"2.3713614677841"	"0"	"19.2878896705638"	"0"	"21.4004438204185"	"21.3811934138267"	"9.38183831302445"	"6.96112011305852"	"6.23191965875131e-05"	"0.96146586833884"	"2.16713786735619e-05"	"2.18809771950099e-05"	"0.00882457029226274"	"0.0296036898164411"
"Fruit"	"EQ.log"	"112"	"-5.29401964108508"	"0.00716649457946384"	"-0.0497752048313123"	"14.6981310252894"	"0"	"5.40599043374832"	"0.0104702975301219"	"0.0530725821861496"	"-0.0540586812909952"	"-4.58975864527442"	"0"	"-5.29423147646095"	"0.00716699834816626"	"-1e-06"	"-0.0497747147930686"	"16.8106851751441"	"0"	NA	"-5.29402120687919"	"0.00716561872278179"	"-5.46231445738071e-09"	"-0.0497752024476581"	"16.7880424137584"	"0"	NA	"2.91852226017627"	"0.000271997472591958"	"0.000536664486205793"	"-0.0765987637483041"	"0.362955479647451"	"0"	NA	"2.86218665314877"	"0.00183602208183776"	"0.0887371010686346"	"-0.077641015183527"	"0.475626693702463"	"0"	"19.2878896705638"	"0"	"21.4004438204185"	"21.3778010590328"	"4.95271412492187"	"5.06538533897688"	"5.57035451483822e-05"	"0.859399034941544"	"1.93707988304251e-05"	"1.9591349129535e-05"	"0.0722315034016297"	"0.068274795963718"
"Fruit"	"EQ.log"	"112"	"-5.29401964108508"	"0.00716649457946384"	"-0.0497752048313123"	"14.6981310252894"	"0"	"5.40599043374832"	"0.0104702975301219"	"0.0530725821861496"	"-0.0540586812909952"	"-4.58975864527442"	"0"	"-5.29423147646166"	"0.00716699968377188"	"-1e-06"	"-0.0497747147930686"	"16.8106851751455"	"0"	NA	"-5.29402131377491"	"0.00716561880106347"	"-5.46231445738071e-09"	"-0.0497752035362029"	"16.793170832678"	"0"	NA	"-0.0450872246665313"	"0.0023396092187622"	"0.000370753225876937"	"-0.0811502397696648"	"6.29530265446127"	"0"	NA	"0.918609709872101"	"0.00251243509055314"	"0.0703130995818275"	"-0.0840157760383557"	"4.367908785384"	"0"	"19.2878896705638"	"0"	"21.40044382042"	"21.3829294779524"	"10.8850612997357"	"8.95766743065842"	"6.38096073662164e-05"	"0.984460052667183"	"2.21896661055585e-05"	"2.23848381414555e-05"	"0.00426125053970099"	"0.0111703126815028"
"Fruit"	"EQ.log"	"112"	"-5.29401964108508"	"0.00716649457946384"	"-0.0497752048313123"	"14.6981310252894"	"0"	"5.40599043374832"	"0.0104702975301219"	"0.0530725821861496"	"-0.0540586812909952"	"-4.58975864527442"	"0"	"-5.29423147646097"	"0.00716699825465071"	"-1e-06"	"-0.0497747147930686"	"16.8106851751442"	"0"	NA	"-5.29402131136166"	"0.00716561880106347"	"-5.46231445738071e-09"	"-0.0497752036597017"	"16.7897232949922"	"0"	NA	"2.79005151446731"	"0.000525926269177106"	"0.000491936923363504"	"-0.0961333276588245"	"0.621577643334292"	"0"	NA	"3.31460401611116"	"0.00183273117293576"	"0.0858265839549103"	"-0.0859247542871845"	"-0.427527359953415"	"0"	"19.2878896705638"	"0"	"21.4004438204186"	"21.3794819402666"	"5.21133628860871"	"4.162231285321"	"5.40701540584942e-05"	"0.834198938204566"	"1.88027902749665e-05"	"1.90008975548585e-05"	"0.0616087412959401"	"0.104100446657606"
"Fruit"	"EQ.log"	"112"	"-5.29401964108508"	"0.00716649457946384"	"-0.0497752048313123"	"14.6981310252894"	"0"	"5.40599043374832"	"0.0104702975301219"	"0.0530725821861496"	"-0.0540586812909952"	"-4.58975864527442"	"0"	"-5.29423147646169"	"0.00716699971128124"	"-1e-06"	"-0.0497747147930687"	"16.8106851751456"	"0"	NA	"-5.29402126621466"	"0.00716561872278179"	"-5.46231445738071e-09"	"-0.0497752026436739"	"16.7931707375575"	"0"	NA	"1.15241120944589"	"0.00195351888596329"	"0.000396105471076856"	"-0.079955088899314"	"3.90030578623643"	"0"	NA	"2.53063394579695"	"0.0023313326309384"	"0.074336944792344"	"-0.0824496025159023"	"1.14386031353431"	"0"	"19.2878896705638"	"0"	"21.40044382042"	"21.3829293828319"	"8.49006443151085"	"5.73361895880872"	"6.05015553632718e-05"	"0.933423144849304"	"2.1039297494388e-05"	"2.12243523260082e-05"	"0.0133808745324599"	"0.0530932154130522"
"Fruit"	"EQ.log"	"112"	"-5.29401964108508"	"0.00716649457946384"	"-0.0497752048313123"	"14.6981310252894"	"0"	"5.40599043374832"	"0.0104702975301219"	"0.0530725821861496"	"-0.0540586812909952"	"-4.58975864527442"	"0"	"-5.29423147646096"	"0.00716699877297391"	"-1e-06"	"-0.0497747147930686"	"16.8106851751441"	"0"	NA	"-5.29402083144532"	"0.00716752668245135"	"-2.77110114472133e-09"	"-0.0497752034811928"	"16.7931698680189"	"0"	NA	"0.78417106505303"	"0.00188414916999374"	"0.0004003128806241"	"-0.0777612314851159"	"4.63678607502214"	"0"	NA	"2.08637758473711"	"0.00237897115716596"	"0.0724076957888051"	"-0.0817735415173606"	"2.03237303565399"	"0"	"19.2878896705638"	"0"	"21.4004438204186"	"21.3829285132933"	"9.22654472029656"	"6.62213168092841"	"6.19364018346052e-05"	"0.955560078315001"	"2.15382625472507e-05"	"2.17277155600434e-05"	"0.00947849243584501"	"0.0348562268692119"
"Fruit"	"EQ.log"	"112"	"-5.29401964108508"	"0.00716649457946384"	"-0.0497752048313123"	"14.6981310252894"	"0"	"5.40599043374832"	"0.0104702975301219"	"0.0530725821861496"	"-0.0540586812909952"	"-4.58975864527442"	"0"	"-5.29423147646093"	"0.00716699848877809"	"-1e-06"	"-0.0497747147930686"	"16.8106851751441"	"0"	NA	"-5.29402029822661"	"0.00716549998155418"	"-5.25181442057113e-10"	"-0.0497752046798429"	"16.7863877038912"	"0"	NA	"0.78702881533863"	"0.000783488848771598"	"0.000486260188270081"	"-0.0781418422221966"	"4.62428947676076"	"0"	NA	"0.946281141365915"	"0.00217285479643185"	"0.0773385232557605"	"-0.0788264067400476"	"4.30578482470619"	"0"	"19.2878896705638"	"0"	"21.4004438204185"	"21.3761463491657"	"9.21404812203517"	"8.8955434699806"	"6.34342283821493e-05"	"0.978668673756106"	"2.20591287983681e-05"	"2.23287538075714e-05"	"0.00976856025070898"	"0.0114549438821972"
