Species;Speciation_rate;Diversification_rate
Macaca_ochreata;0.314795459840386;0.261643354477885
Macaca_brunnescens;0.332501217358522;0.276359557160624
Macaca_maura;0.304309494849577;0.252927907766792
Macaca_hecki;0.297644627405055;0.247388379730971
Macaca_tonkeana;0.309726244220502;0.25743005807256
Macaca_nigra;0.292117382299916;0.242794390506783
Macaca_nigrescens;0.297968069842462;0.247657210051289
Macaca_siberu;0.273146825167106;0.227026945172407
Macaca_leonina;0.275525086409739;0.229003645375335
Macaca_pagensis;0.284411963182667;0.236390004285592
Macaca_silenus;0.277557872409162;0.230693202613849
Macaca_nemestrina;0.289299747887256;0.240452503747061
Macaca_thibetana;0.317825264605055;0.264161587372486
Macaca_assamensis;0.309816111920104;0.257504751927405
Macaca_sinica;0.326682700183576;0.271523476130383
Macaca_munzala;0.309134794620161;0.256938472655425
Macaca_radiata;0.328105385612505;0.272705946132271
Macaca_arctoides;0.264216877574192;0.219604787798516
Macaca_fuscata;0.283945880382676;0.23600261792584
Macaca_mulatta;0.303398942842861;0.252171099261407
Macaca_cyclopis;0.267453696997484;0.222295081655292
Macaca_fascicularis;0.282948051803523;0.235173269190074
Macaca_sylvanus;0.225927358344311;0.187780319117389
Rungwecebus_kipunji;0.332173184719972;0.276086911678469
Papio_ursinus;0.29329315362709;0.243771636983897
Papio_cynocephalus;0.321397324736779;0.26713051772407
Papio_anubis;0.283752772869249;0.235842115936346
Papio_hamadryas;0.255690897640712;0.212518389566668
Papio_papio;0.263446733475581;0.218964679820167
Lophocebus_albigena;0.256914524499486;0.213535411337316
Lophocebus_aterrimus;0.254231247022365;0.211305195817483
Theropithecus_gelada;0.265619538833585;0.220770614641413
Cercocebus_galeritus;0.255902187630209;0.212694003985147
Cercocebus_agilis;0.291135097641698;0.241977961155614
Cercocebus_chrysogaster;0.264249676583902;0.219632048810884
Cercocebus_atys;0.255259719241476;0.212160014122461
Cercocebus_torquatus;0.26312304677373;0.218695646478596
Mandrillus_leucophaeus;0.256672870906059;0.213334560102556
Mandrillus_sphinx;0.25172125251913;0.209219005051325
Cercopithecus_erythrotis;0.300688775921843;0.249918534485633
Cercopithecus_cephus;0.343780515477332;0.285734385493466
Cercopithecus_erythrogaster;0.270018935784679;0.224427188902514
Cercopithecus_ascanius;0.279030322818863;0.231917034954671
Cercopithecus_petaurista;0.247796291443185;0.205956759837795
Cercopithecus_mitis;0.266691529315891;0.221661603304023
Cercopithecus_albogularis;0.272362143764437;0.226374754462621
Cercopithecus_nictitans;0.264030501240243;0.219449880452539
Cercopithecus_diana;0.223502885105875;0.18576520965149
Cercopithecus_pogonias;0.259543166977171;0.215720216785061
Cercopithecus_wolfi;0.270832167008664;0.225103108896778
Cercopithecus_mona;0.257791755214237;0.214264524733598
Cercopithecus_neglectus;0.224778221377486;0.186825209882627
Cercopithecus_hamlyni;0.221625218341081;0.184204580310834
Chlorocebus_aethiops;0.269148009442596;0.223703315407765
Chlorocebus_tantalus;0.265989222015091;0.221077878118949
Chlorocebus_pygerythrus;0.274864595893395;0.228454676357851
Chlorocebus_sabaeus;0.244871438812153;0.203525758278482
Chlorocebus_cynosuros;0.236975803625139;0.196963273301375
Cercopithecus_campbelli;0.219791118450759;0.182680161731243
Cercopithecus_preussi;0.244216584204122;0.20298147356603
Cercopithecus_lhoesti;0.257571539640465;0.214081491784333
Cercopithecus_solatus;0.229818814537451;0.191014716629644
Erythrocebus_patas;0.203476945812304;0.169120579719416
Miopithecus_talapoin;0.203921545210831;0.169490110074423
Miopithecus_ogouensis;0.203019149860793;0.168740081002946
Allenopithecus_nigroviridis;0.194658217559526;0.161790862691554
Trachypithecus_auratus;0.321013078909706;0.266811150452412
Trachypithecus_germaini;0.339228370127347;0.281950853862975
Trachypithecus_cristatus;0.308059262752869;0.256044540558219
Trachypithecus_barbei;0.330363502045408;0.274582787553701
Trachypithecus_obscurus;0.333860485905399;0.277489317997777
Trachypithecus_phayrei;0.324346430650112;0.269581677484336
Trachypithecus_francoisi;0.369422142577367;0.307046514112239
Trachypithecus_poliocephalus;0.367708415629892;0.30562214392779
Trachypithecus_delacouri;0.336778210523752;0.279914395084263
Trachypithecus_hatinhensis;0.328399275532198;0.272950213773472
Trachypithecus_laotum;0.293031651696935;0.243554288734202
Semnopithecus_hector;0.337515569603179;0.280527253678519
Semnopithecus_entellus;0.336156781372232;0.279397892057642
Trachypithecus_johnii;0.285954361475977;0.237671974056081
Trachypithecus_pileatus;0.313132745651977;0.260261383727691
Trachypithecus_geei;0.311191944053458;0.258648279647759
Semnopithecus_priam;0.314644125498886;0.261517572407274
Trachypithecus_vetulus;0.294083345368852;0.244428407631416
Pygathrix_nemaeus;0.279882375462547;0.232625221508563
Pygathrix_cinerea;0.274727225791887;0.228340500714461
Pygathrix_nigripes;0.241883724535675;0.201042509041293
Simias_concolor;0.25260915728932;0.209956990226357
Nasalis_larvatus;0.261602069323422;0.217431480717166
Rhinopithecus_avunculus;0.260081164223738;0.216167375090212
Rhinopithecus_roxellana;0.253558309052478;0.210745881055174
Rhinopithecus_bieti;0.231240793304068;0.192196599286664
Rhinopithecus_brelichi;0.243614609455541;0.202481140134888
Presbytis_bicolor;0.393451414577311;0.32701852811433
Presbytis_rubicunda;0.371477668184459;0.308754971455707
Presbytis_melalophos;0.363057257606082;0.301756317564941
Presbytis_sumatranu;0.347913597710527;0.289169611339399
Presbytis_fredericae;0.379346960443727;0.315295561415695
Presbytis_comata;0.36445691353003;0.302919646512703
Presbytis_mitrata;0.333943825310014;0.277558585837265
Presbytis_potenziani;0.304883258750753;0.253404793652815
Presbytis_siberu;0.339360716594615;0.282060854095084
Presbytis_frontata;0.296669466550467;0.246577871354264
Presbytis_chrysomelas;0.292226894963221;0.242885412342356
Presbytis_hosei;0.291002540210474;0.24186778558007
Presbytis_femoralis;0.246986379272211;0.205283598486124
Presbytis_thomasi;0.218684192955565;0.181760136709706
Piliocolobus_tephrosceles;0.301491460661524;0.250585688732346
Piliocolobus_rufomitratus;0.303676466936616;0.252401764388774
Piliocolobus_foai;0.307674982877399;0.255725144987116
Piliocolobus_kirkii;0.286368470946736;0.238016162600304
Piliocolobus_gordonorum;0.314918545024181;0.261745657161637
Piliocolobus_preussi;0.271230462798471;0.225434153844416
Piliocolobus_pennantii;0.281265340733789;0.233774677961581
Piliocolobus_tholloni;0.248141891681809;0.206244006692587
Piliocolobus_badius;0.243367438169076;0.202275702850138
Procolobus_verus;0.217055359518916;0.180406326065592
Colobus_vellerosus;0.261643088350833;0.21746557382618
Colobus_polykomos;0.264479126687864;0.219822757072421
Colobus_guereza;0.228612733026216;0.190012277736359
Colobus_angolensis;0.224349646564509;0.186468998418304
Colobus_satanas;0.232480813911331;0.193227246779072
Hylobates_funereus;0.346700795308702;0.288161586354244
Hylobates_muelleri;0.369861180843241;0.307411422312268
Hylobates_abbotti;0.323300615338441;0.268712444406932
Hylobates_agilis;0.292380786957396;0.243013320214991
Hylobates_albibarbis;0.309612141385839;0.257335221099906
Hylobates_klossii;0.261903986659931;0.217682420374108
Hylobates_moloch;0.304190968635991;0.252829394287176
Hylobates_lar;0.256371789268889;0.213084315040061
Hylobates_pileatus;0.224541642803031;0.186628576767748
Symphalangus_syndactylus;0.202843122220213;0.168593775009888
Nomascus_leucogenys;0.284915576335807;0.236808584130465
Nomascus_siki;0.28489187867183;0.236788887733639
Nomascus_gabriellae;0.272775692227149;0.226718476723031
Nomascus_concolor;0.222496327546868;0.184928605793394
Nomascus_hainanus;0.209966043710823;0.174514016278395
Nomascus_nasutus;0.240856634922687;0.200188839894261
Hoolock_hoolock;0.194701940953053;0.161827203543983
Hoolock_leuconedys;0.177375326386836;0.147426126860257
Pan_troglodytes;0.17959078811756;0.149267515675832
Pan_paniscus;0.168908216869859;0.140388658982299
Homo_sapiens;0.153405499098747;0.12750352053966
Gorilla_gorilla;0.190769969464315;0.158559131601184
Gorilla_beringei;0.161395564744542;0.134144491724963
Pongo_abelii;0.155716318588345;0.129424166292168
Pongo_pygmaeus;0.159000639747958;0.132153941384285
Callithrix_mauesi;0.320107119312898;0.266058158944687
Callithrix_humeralifera;0.296360654334728;0.246321200994181
Callithrix_emiliae;0.308881676201606;0.256728092390906
