Species;Speciation_rate;Diversification_rate
Macaca_ochreata;0.242653493257305;0.213612208344482
Macaca_brunnescens;0.264989470240536;0.233274968211946
Macaca_maura;0.248929649086837;0.219137220528168
Macaca_hecki;0.252569023596506;0.22234102697483
Macaca_tonkeana;0.241817938268055;0.212876654349149
Macaca_nigra;0.254278336181342;0.223845765402852
Macaca_nigrescens;0.218553800923284;0.1923968183215
Macaca_siberu;0.252583962465969;0.2223541779287
Macaca_leonina;0.243173281520331;0.214069787245351
Macaca_pagensis;0.220925818988241;0.194484948231714
Macaca_silenus;0.225657499784946;0.198650331431426
Macaca_nemestrina;0.233135308630206;0.20523318024836
Macaca_thibetana;0.246577922665254;0.217066953714396
Macaca_assamensis;0.227345300270164;0.200136132373553
Macaca_sinica;0.223836769253599;0.197047509793128
Macaca_munzala;0.237310224734594;0.208908433535423
Macaca_radiata;0.243569525544226;0.214418607943752
Macaca_arctoides;0.215956364150838;0.190110248292982
Macaca_fuscata;0.227576403016638;0.200339576252997
Macaca_mulatta;0.226763917766754;0.199624330961675
Macaca_cyclopis;0.203579430167676;0.179214612029161
Macaca_fascicularis;0.214593793322408;0.188910752832276
Macaca_sylvanus;0.187750482947421;0.165280106796626
Rungwecebus_kipunji;0.252639322733501;0.222402912561956
Papio_ursinus;0.266401371410958;0.23451789005465
Papio_cynocephalus;0.23598693891443;0.207743521369842
Papio_anubis;0.221548682335474;0.195033265972016
Papio_hamadryas;0.209318273817039;0.18426661869442
Papio_papio;0.193149835687617;0.170033253545027
Lophocebus_albigena;0.211967112712892;0.186598438931155
Lophocebus_aterrimus;0.214677047297254;0.188984042794771
Theropithecus_gelada;0.206313472811758;0.18162143864876
Cercocebus_galeritus;0.223161022723882;0.196452638041824
Cercocebus_agilis;0.225430008858379;0.198450067101619
Cercocebus_chrysogaster;0.198198266276408;0.174477477249657
Cercocebus_atys;0.214582472470919;0.188900786884312
Cercocebus_torquatus;0.220628779756974;0.194223459285875
Mandrillus_leucophaeus;0.186422922948819;0.164111431995351
Mandrillus_sphinx;0.194029652055511;0.170807771623298
Cercopithecus_erythrotis;0.229146675178273;0.201721914910669
Cercopithecus_cephus;0.231837775365024;0.204090938517342
Cercopithecus_erythrogaster;0.234624555611297;0.206544190991007
Cercopithecus_ascanius;0.216954390856511;0.190988829044999
Cercopithecus_petaurista;0.208562703450108;0.183601476592102
Cercopithecus_mitis;0.214658551276959;0.188967760417428
Cercopithecus_albogularis;0.208995391005752;0.18398237918305
Cercopithecus_nictitans;0.197509469150189;0.17387111682493
Cercopithecus_diana;0.187273405890987;0.164860127334524
Cercopithecus_pogonias;0.20507535140099;0.180531498235365
Cercopithecus_wolfi;0.187511520970808;0.165069744296381
Cercopithecus_mona;0.185700551460848;0.163475515459721
Cercopithecus_neglectus;0.176495155061211;0.155371840432353
Cercopithecus_hamlyni;0.181362741632363;0.159656863915074
Chlorocebus_aethiops;0.205777623425358;0.18114972085384
Chlorocebus_tantalus;0.221746576472657;0.195207475718988
Chlorocebus_pygerythrus;0.218196641263012;0.192082404287158
Chlorocebus_sabaeus;0.207669993625856;0.182815608173686
Chlorocebus_cynosuros;0.194131912109839;0.170897792977358
Cercopithecus_campbelli;0.190519194291442;0.167717452892598
Cercopithecus_preussi;0.20135441985571;0.177255895672153
Cercopithecus_lhoesti;0.21968513139237;0.193392748759693
Cercopithecus_solatus;0.194339353294707;0.171080407161091
Erythrocebus_patas;0.186334252773072;0.164033374054369
Miopithecus_talapoin;0.173638250983346;0.152856856696043
Miopithecus_ogouensis;0.16118016659785;0.141889782282217
Allenopithecus_nigroviridis;0.173332307448846;0.152587529132874
Trachypithecus_auratus;0.263039236563323;0.231558142639047
Trachypithecus_germaini;0.270504529325158;0.238129973323977
Trachypithecus_cristatus;0.249851821528276;0.219949025415235
Trachypithecus_barbei;0.257254146926435;0.226465424804171
Trachypithecus_obscurus;0.274468693474329;0.241619697896977
