Row Labels	 Average of Group Size 	Min of Group Size	Max of Group Size	Count of First or Duplicate Entry?
Saimiri_sciureus	 37.81 	19	65	12
Semnopithecus_entellus	 24.75 	9.5	37.5	4
Symphalangus_syndactylus	 3.86 	3	5	5
Tarsius_bancanus	 2.00 	2	2	1
Tarsius_syrichta	 2.00 	2	2	1
Theropithecus_gelada	 151.30 	7.2	320	4
Trachypithecus_cristatus	 24.75 	21.5	28	2
Trachypithecus_johnii	 16.50 	8	32	4
Trachypithecus_obscurus	 10.30 	10.3	10.3	1
Trachypithecus_phayrei	 8.80 	8.8	8.8	1
Trachypithecus_pileatus	 6.20 	6	6.4	2
Trachypithecus_vetulus	 13.00 	13	13	1
Varecia_variegata_variegata	 5.93 	2	10.5	3
