Taxon	 Ref (17) 	 Ref (18) 	 Ref (3) 	 Ref (35) 	 Ref (63) 	 Ref (64) 	 Ref (65) 	 Ref (66) 	Social System	Mating System
Hapalemur_griseus	 -   	 -   	 -   	 NP 	 -   	 Mon 	 -   	 PL 	Pair	Monogamy
Hylobates_agilis	 -   	 -   	 Mon 	 -   	 -   	 Mon 	 -   	 PL 	Pair	Monogamy
Hylobates_klossii	 -   	 -   	 Mon 	 -   	 -   	 Mon 	 Mon 	 PL 	Pair	Monogamy
Hylobates_lar	 Mono 	 Mon 	 Mon 	 -   	 Mono/PA 	 -   	 Mon 	 PL 	Pair	Monogamy
Hylobates_moloch	 -   	 Mon 	 Mon 	 -   	 -   	 Mon 	 -   	 PL 	Pair	Monogamy
Hylobates_muelleri	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 PL 	Pair	Monogamy
Hylobates_pileatus	 -   	 -   	 Mon 	 -   	 -   	 -   	 -   	 PL 	Pair	Monogamy
Indri_indri	 Mono 	 -   	 Mon 	 Pair 	 Mono/PA 	 Mon 	 Mon 	 PL 	Pair	Monogamy
Lagothrix_lagotricha	 MM 	 MMMF 	 MMMF 	 -   	 Polygynous 	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Lemur_catta	 -   	 -   	 MMMF 	 NP 	 -   	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Leontopithecus_chrysomelas	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 PL, UM, MMMF 	Pair	Monogamy
Leontopithecus_rosalia	 -   	 -   	 Mon 	 -   	 -   	 -   	 -   	 PL, UM, MMMF 	Pair	Monogamy
Lepilemur_mustelinus	 -   	 -   	 -   	 NP 	 -   	 -   	 Solitary 	 S 	Solitary	Spatial Polygyny
Lepilemur_ruficaudatus	 S 	 -   	 -   	 -   	 Solitary 	 -   	 Solitary 	 S 	Solitary	Spatial Polygyny
Lophocebus_albigena	 MM 	 -   	 MMMF 	 -   	 -   	 -   	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Lophocebus_aterrimus	 -   	 -   	 -   	 -   	 -   	 MM 	 -   	 MMMF 	Polygynandry	Polygynandry
Loris_tardigradus	 Harem 	 -   	 -   	 -   	 -   	 UM 	 Solitary 	 S 	Solitary	Spatial Polygyny
Macaca_arctoides	 -   	 MMMF 	 -   	 -   	 -   	 -   	 -   	 MMMF 	Polygynandry	Polygynandry
Macaca_fascicularis	 -   	 MMMF 	 MMMF 	 -   	 -   	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Macaca_fuscata	 -   	 -   	 MMMF 	 -   	 -   	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Macaca_mulatta	 MM 	 MMMF 	 MMMF 	 -   	 -   	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Macaca_nemestrina	 -   	 MMMF 	 MMMF 	 -   	 -   	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Macaca_nigra	 -   	 -   	 -   	 -   	 -   	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Macaca_radiata	 -   	 MMMF 	 MMMF 	 -   	 -   	 -   	 -   	 MMMF 	Polygynandry	Polygynandry
Macaca_silenus	 -   	 -   	 MMMF 	 -   	 -   	 -   	 -   	 MMMF 	Polygynandry	Polygynandry
Macaca_sinica	 -   	 -   	 MMMF 	 -   	 -   	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Macaca_sylvanus	 -   	 -   	 MMMF 	 -   	 -   	 -   	 -   	 MMMF 	Polygynandry	Polygynandry
Mandrillus_leucophaeus	 -   	 -   	 -   	 -   	 -   	 UM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Mandrillus_sphinx	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 MMMF 	Polygynandry	Polygynandry
Microcebus_murinus	 S 	 -   	 -   	 NP 	 Solitary 	 UM 	 Solitary 	 S 	Solitary	Spatial Polygyny
Microcebus_rufus	 -   	 -   	 -   	 NP 	 -   	 UM 	 Solitary 	 S 	Solitary	Spatial Polygyny
Miopithecus_talapoin	 MM 	 -   	 MMMF 	 -   	 -   	 -   	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Mirza_coquereli	 -   	 -   	 -   	 NP 	 -   	 -   	 -   	 S 	Solitary	Spatial Polygyny
Nasalis_larvatus	 Harem 	 Harem 	 MMMF 	 -   	 -   	 MM and UM 	 MMMF 	 UM 	Polygynandry	Harem Polygyny
Nomascus_concolor	 -   	 -   	 Mon 	 -   	 -   	 Mon 	 Mon 	 PL 	Pair	Monogamy
Nycticebus_coucang	 S 	 -   	 -   	 -   	 -   	 UM 	 Solitary 	 S 	Solitary	Spatial Polygyny
Nycticebus_pygmaeus	 -   	 -   	 -   	 -   	 -   	 UM 	 Solitary 	 S 	Solitary	Spatial Polygyny
Otolemur_crassicaudatus	 S 	 -   	 -   	 -   	 -   	 UM 	 Solitary 	 S, PL, UM 	Solitary	Spatial Polygyny
Otolemur_garnettii	 -   	 -   	 -   	 -   	 -   	 UM 	 Solitary 	 S 	Solitary	Spatial Polygyny
Pan_paniscus	 -   	 -   	 -   	 -   	 -   	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Pan_troglodytes_troglodytes	 MM 	 MMMF 	 MMMF 	 -   	 Polygynous 	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Papio_anubis	 MM 	 MMMF 	 MMMF 	 -   	 -   	 MM 	 -   	 MMMF 	Polygynandry	Polygynandry
Papio_cynocephalus	 -   	 MMMF 	 MMMF 	 -   	 -   	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Papio_hamadryas	 -   	 Harem 	 Harem 	 -   	 -   	 UM 	 MMMF 	 UM, MMMF 	Polygynandry	Harem Polygyny
Papio_papio	 -   	 MMMF 	 MMMF 	 -   	 -   	 -   	 -   	 MMMF 	Polygynandry	Harem Polygyny
Papio_ursinus	 -   	 MMMF 	 -   	 -   	 -   	 MM 	 -   	 MMMF 	Polygynandry	Polygynandry
Perodicticus_potto	 S 	 -   	 -   	 -   	 -   	 UM 	 Solitary 	 S 	Solitary	Spatial Polygyny
Piliocolobus_badius	 MM 	 -   	 MMMF 	 -   	 -   	 MM 	 MMMF 	 MMMF 	Polygynandry	Polygynandry
Pithecia_pithecia	 -   	 -   	 -   	 -   	 -   	 Mon 	 MMMF 	 -   	Polygynandry	Polygynandry
Pongo_abelii	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 S, MMMF 	Solitary	Spatial Polygyny
Pongo_pygmaeus	 -   	 Harem 	 -   	 -   	 -   	 MM and UM 	 Solitary 	 S, MMMF 	Solitary	Spatial Polygyny
