",""MSW3sp"",""Site"",""Plot"",""PD"",""DR"",""HR"",""ov"",""GS"",""FS"",""miner"",""Status"",""mass"",""rain"",""multi1"",""multi2"""
"161,""Macaca fuscata"",""Yakushima"",""W. slope Mt. Kuniwari"",30,1.464,41,35,49,80.53,""nick"",""T"",10114.76,2800,TRUE,TRUE"
"162,""Macaca mulatta"",""?Nepal"",NA,63.6136111111111,1.61565,12,20,56.9515789473684,NA,""fiona"",""ST"",6455.19,NA,FALSE,FALSE"
"163,""Macaca mulatta"",""Asarori (Uttar Pradesh)"",""(Asarori)"",63.6136111111111,1.8033,1340,41.3,32.8333333333333,NA,""nick"",""ST"",6455.19,1650,TRUE,TRUE"
"164,""Macaca mulatta"",""Asarori (Uttar Pradesh)"",""(Asarori)"",63.6136111111111,1.8033,130,100,32.8333333333333,NA,""nick"",""ST"",6455.19,1650,TRUE,TRUE"
"165,""Macaca mulatta"",""Asarori (Uttar Pradesh)"",""(Asarori)"",63.6136111111111,1.8033,280,51.4,32.8333333333333,NA,""nick"",""ST"",6455.19,1650,TRUE,TRUE"
"166,""Macaca mulatta"",""Asarori (Uttar Pradesh)"",""(Asarori)"",63.6136111111111,1.8033,480,23.5,32.8333333333333,NA,""nick"",""ST"",6455.19,1650,TRUE,TRUE"
"167,""Macaca mulatta"",""Asarori (Uttar Pradesh)"",""(Asarori)"",63.6136111111111,1.8033,610,80.3,32.8333333333333,NA,""nick"",""ST"",6455.19,1650,TRUE,TRUE"
"168,""Macaca mulatta"",""Asarori (Uttar Pradesh)"",""(Asarori)"",63.6136111111111,1.8033,720,82.4,32.8333333333333,NA,""nick"",""ST"",6455.19,1650,TRUE,TRUE"
"169,""Macaca sylvanus"",""Ghomaran Rif mountains"",""Ghomara"",6.73,NA,307,100,12,NA,""nick"",""ST"",11471.53,992,FALSE,TRUE"
"170,""Macaca sylvanus"",""Ghomaran Rif mountains"",""Ghomara"",6.73,NA,756,100,12,NA,""nick"",""ST"",11471.53,992,FALSE,TRUE"
"171,""Macaca sylvanus"",""Ghomaran Rif mountains"",""Ghomara"",6.73,NA,779,39,30,NA,""nick"",""ST"",11471.53,992,FALSE,TRUE"
"172,""Macaca sylvanus"",""Ghomaran Rif mountains"",""Ghomara"",6.73,NA,884,85,31,NA,""nick"",""ST"",11471.53,992,FALSE,TRUE"
"173,""Macaca sylvanus"",""Ghomaran Rif mountains"",""Ghomara"",6.73,NA,901,78,59,NA,""nick"",""ST"",11471.53,992,FALSE,TRUE"
"174,""Macaca sylvanus"",""Moyen Atlas"",""Ain Kahla"",65,NA,117,100,25,NA,""nick"",""ST"",11471.53,561,FALSE,TRUE"
"175,""Microcebus murinus"",""Ampijoroa Forestry Reserve"",NA,73,NA,3.2,65,1,65,""fiona"",""A"",69,1200,FALSE,TRUE"
"176,""Microcebus murinus"",""Ampijoroa Forestry Reserve"",NA,95,NA,1.8,44,1,65,""fiona"",""A"",69,1200,FALSE,TRUE"
"177,""Microcebus murinus"",""Mandena forest"",NA,82.0571428571429,NA,0.6,20,1,65,""fiona"",""A"",69,1680,FALSE,TRUE"
"178,""Microcebus murinus"",""Mandena forest"",NA,82.0571428571429,NA,4.2,36,1,65,""fiona"",""A"",69,1680,FALSE,TRUE"
"179,""Nasalis larvatus"",""Lower Kinabatangan (Sabah)"",""Abai"",10,0.91,315,100,10.5,42.4433333333333,""nick"",""A"",12265.65,2395.5,TRUE,TRUE"
"180,""Nasalis larvatus"",""Lower Kinabatangan (Sabah)"",""Sukau"",34.01,0.91,220.5,100,21,42.4433333333333,""nick"",""A"",12265.65,2395.5,TRUE,TRUE"
"181,""Nasalis larvatus"",""Mananggul River"",NA,28.135,0.901666666666667,138.3,95,16,42.4433333333333,""fiona"",""A"",12265.65,2509,TRUE,TRUE"
"182,""Nasalis larvatus"",""Tanjung Puting (Kalimantan)"",""Natai Lengkuas station"",62.6,0.901666666666667,130.3,95.9,12.1,40.33,""nick"",""A"",12265.65,3000,TRUE,TRUE"
"183,""Nomascus hainanus"",""Bawanglin (Hainan)"",""(Bawanglin)"",1.75,0.42,500,21,7,NA,""nick"",""A"",6865.235,1596,TRUE,TRUE"
"184,""Otolemur garnettii"",""Diani"",""(Diani)"",34.5,1.8,11.6,40,2,50,""nick"",""A"",811.17,1000,TRUE,TRUE"
"185,""Otolemur garnettii"",""Diani"",""(Diani)"",34.5,3,17.8,90,2,50,""nick"",""A"",811.17,1000,TRUE,TRUE"
"186,""Otolemur garnettii"",""Gedi"",""Gedi Ruins"",34.5,1.6,10.8,95,2,50,""nick"",""A"",811.17,1086,TRUE,TRUE"
"187,""Otolemur garnettii"",""Gedi"",""Gedi Ruins"",34.5,1.6,12.5,90,2,50,""nick"",""A"",811.17,1086,TRUE,TRUE"
"188,""Otolemur garnettii"",""Gedi"",""Gedi Ruins"",34.5,1.6,13,95,2,50,""nick"",""A"",811.17,1086,TRUE,TRUE"
"189,""Otolemur garnettii"",""Gedi"",""Gedi Ruins"",34.5,1.6,16.6,40,2,50,""nick"",""A"",811.17,1086,TRUE,TRUE"
"190,""Otolemur garnettii"",""Gedi"",""Gedi Ruins"",34.5,1.6,16.9,50,2,50,""nick"",""A"",811.17,1086,TRUE,TRUE"
"191,""Pan paniscus"",""Wamba"",""Yayenge"",3,2.4,1400,64,105,79.4,""nick"",""ST"",35119.95,2005,TRUE,TRUE"
"192,""Pan paniscus"",""Wamba"",""Yayenge"",3,2.4,1600,63,55,79.4,""nick"",""ST"",35119.95,2005,TRUE,TRUE"
"193,""Pan paniscus"",""Wamba"",""Yayenge"",3,2.4,2000,40,63,79.4,""nick"",""ST"",35119.95,2005,TRUE,TRUE"
"194,""Pan paniscus"",""Wamba"",""Yayenge"",3,2.4,2900,48,90,79.4,""nick"",""ST"",35119.95,2005,TRUE,TRUE"
"195,""Pan troglodytes"",""Mahale, Tanzania"",NA,1.54889763779528,4.588125,1150,41,40.2651851851852,67.4285714285714,""fiona"",""ST"",45000,2000,TRUE,TRUE"
"196,""Pan troglodytes"",""Masito Hills"",""Kasakati"",0.41,2,12300,21,45,87,""nick"",""ST"",45000,1040,TRUE,TRUE"
"197,""Pan troglodytes"",""Masito Hills"",""Kasakati"",0.622,2,10500,20,43,87,""nick"",""ST"",45000,1040,TRUE,TRUE"
"198,""Pan troglodytes"",""Tai"",""(Tai)"",2.58,2.08,1210,13.5,11,67.4285714285714,""nick"",""ST"",45000,1830,TRUE,TRUE"
"199,""Pan troglodytes"",""Tai"",""(Tai)"",2.58,3.34,1680,9.5,35,67.4285714285714,""nick"",""ST"",45000,1830,TRUE,TRUE"
"200,""Pan troglodytes"",""Tai"",""(Tai)"",2.58,4.19,2650,7.5,63,67.4285714285714,""nick"",""ST"",45000,1830,TRUE,TRUE"
"201,""Papio anubis"",""Awash"",""(Awash)"",5.6,5.8,430,95,87,37.975,""nick"",""T"",17728.56,550,TRUE,TRUE"
"202,""Papio anubis"",""Queen Elizabeth"",""Ishasha River camp"",10.8,4.45528571428571,453.25,9,45,37.975,""nick"",""T"",17728.56,989,TRUE,TRUE"
"203,""Papio cynocephalus"",""Amboseli"",""(Amboseli)"",5.70333333333333,5.23,1260,22,51.3333333333333,0.05,""nick"",""T"",15822.15,300,TRUE,TRUE"
"204,""Papio cynocephalus"",""Amboseli"",""(Amboseli)"",5.70333333333333,5.23,1590,22,51.3333333333333,0.05,""nick"",""T"",15822.15,300,TRUE,TRUE"
"205,""Papio cynocephalus"",""Amboseli"",""(Amboseli)"",5.70333333333333,5.23,1960,22,51.3333333333333,0.05,""nick"",""T"",15822.15,300,TRUE,TRUE"
"206,""Papio cynocephalus"",""Amboseli"",NA,5.70333333333333,5.23,2400,100,51.3333333333333,0.05,""fiona"",""T"",15822.15,300,TRUE,TRUE"
"207,""Papio cynocephalus"",""Nairobi NP"",""(Nairobi NP)"",3.86,4.8,2325,40,41,0.05,""nick"",""T"",15822.15,503,TRUE,TRUE"
"208,""Papio hamadryas"",""Erer-Gota"",""(Erer-Gota)"",10.175,8.6,2800,50,83,NA,""nick"",""T"",14007.08,NA,FALSE,FALSE"
"209,""Papio ursinus"",""De Hoop"",""(De Hoop)"",9.12368421052632,4.6215625,1236,100,19,35,""nick"",""T"",17729.44,428,TRUE,TRUE"
"210,""Papio ursinus"",""De Hoop"",""(De Hoop)"",9.12368421052632,4.6215625,1876,100,42,35,""nick"",""T"",17729.44,428,TRUE,TRUE"
"211,""Papio ursinus"",""Drakensberg"",""Giant's Castle"",0.95,4.3,1890,100,9,0,""nick"",""T"",17729.44,1197,TRUE,TRUE"
"212,""Papio ursinus"",""Drakensberg"",""Giant's Castle"",1.87,3.8,1000,50,14,6,""nick"",""T"",17729.44,1197,TRUE,TRUE"
"213,""Papio ursinus"",""Kuiseb"",""(Kuiseb)"",3.5,4.025,941,10.5,32,29.86,""nick"",""T"",17729.44,22.5,TRUE,TRUE"
"214,""Papio ursinus"",""Kuiseb"",""(Kuiseb)"",7,4.025,402,17.8,31,29.86,""nick"",""T"",17729.44,22.5,TRUE,TRUE"
"215,""Papio ursinus"",""Suikerbosrand"",""(Suikerbosrand)"",3.76,3.1,2487.5,42,74,43.3,""nick"",""T"",17729.44,700,TRUE,TRUE"
"216,""Papio ursinus"",""Suikerbosrand"",""(Suikerbosrand)"",3.93,4.5,2825,40,88,43.3,""nick"",""T"",17729.44,700,TRUE,TRUE"
"217,""Papio ursinus"",""Suikerbosrand"",""(Suikerbosrand)"",4.86,4.8,2475,62,82,43.3,""nick"",""T"",17729.44,700,TRUE,TRUE"
"218,""Papio ursinus"",""Suikerbosrand"",""(Suikerbosrand)"",4.98,5.4,2050,69,68,43.3,""nick"",""T"",17729.44,700,TRUE,TRUE"
"219,""Piliocolobus badius"",""Tai"",""(Tai)"",145,0.967,65,23,72.5,10.4,""nick"",""A"",8430.4,1830,TRUE,TRUE"
"220,""Piliocolobus badius"",""Tai"",""(Tai)"",160.625,0.967,64,19.5,72.5,10.4,""nick"",""A"",8430.4,1830,TRUE,TRUE"
"221,""Piliocolobus badius"",""Tiwai"",""East study area"",60.7,0.8375,52.5,15,3,31,""nick"",""A"",8430.4,2708,TRUE,TRUE"
"222,""Piliocolobus rufomitratus"",""Kibale"",""Ngogo"",265.9978,0.531666666666667,12.65,45,12.2671428571429,25,""fiona"",""A"",8030.75,1570,TRUE,TRUE"
"223,""Piliocolobus tephrosceles"",""Kibale"",""Kanyawara (K14)"",225.05,0.575,21.9,49,24,8.9,""nick"",""A"",8676.23,1570,TRUE,TRUE"
"224,""Piliocolobus tephrosceles"",""Kibale"",""Kanyawara (K14)"",225.05,0.575,26.4,41,48,6.6,""nick"",""A"",8676.23,1570,TRUE,TRUE"
"225,""Piliocolobus tephrosceles"",""Kibale"",""Kanyawara (K30)"",309.375,0.309,5.04,10,10,7.645,""nick"",""A"",8676.23,1570,TRUE,TRUE"
"226,""Piliocolobus tephrosceles"",""Kibale"",""Kanyawara (K30)"",309.375,0.577,36.9,1.5,48,7.645,""nick"",""A"",8676.23,1570,TRUE,TRUE"
"227,""Piliocolobus tephrosceles"",""Kibale"",""Kanyawara (K30)"",309.375,0.511633333333333,16.5,98.5,40,7.645,""nick"",""A"",8676.23,1570,TRUE,TRUE"
"228,""Piliocolobus tephrosceles"",""Kibale"",""Kanyawara (K30)"",309.375,0.511633333333333,40,89.4,78,7.645,""nick"",""A"",8676.23,1570,TRUE,TRUE"
"229,""Pongo pygmaeus"",""Mawas (Kalimantan)"",""Tuanan"",4.38,0.613333333333333,245,95,1.7775,62.225,""nick"",""A"",53408.29,NA,FALSE,FALSE"
"230,""Pongo pygmaeus"",""Tuanan Mawas reserve "",""Tuanan field station"",4.25,0.613333333333333,275.415,30,1,62.225,""fiona"",""A"",53408.29,2678,TRUE,TRUE"
"231,""Presbytis comata"",""Kamojang (Java)"",""(Kamojang)"",11,0.5,38,9,8,14.2,""nick"",""A"",6550.07,3000,TRUE,TRUE"
"232,""Presbytis melalophos"",""Krau"",""Kuala Lompat"",33.1,NA,29.5,79,15,46,""fiona"",""A"",6439.12,2000,FALSE,TRUE"
"233,""Presbytis potenziani"",""North Pagai (Mentawai Islands)"",""Betumonga"",13.5,0.54,25,40,2,32,""nick"",""A"",6449.53,3373,TRUE,TRUE"
"234,""Presbytis potenziani"",""North Pagai (Mentawai Islands)"",""Betumonga"",13.5,0.54,30,40,3,32,""nick"",""A"",6449.53,3373,TRUE,TRUE"
"235,""Presbytis potenziani"",""North Pagai (Mentawai Islands)"",""Betumonga"",13.5,0.54,35,40,3,32,""nick"",""A"",6449.53,3373,TRUE,TRUE"
"236,""Presbytis potenziani"",""North Pagai (Mentawai Islands)"",""Betumonga"",13.5,0.54,38,40,5.3,32,""nick"",""A"",6449.53,3373,TRUE,TRUE"
"237,""Presbytis potenziani"",""North Pagai (Mentawai Islands)"",""Betumonga"",13.5,0.54,40,40,4,32,""nick"",""A"",6449.53,3373,TRUE,TRUE"
"238,""Presbytis rubicunda"",""Sepilok (Sabah)"",""(Sepilok)"",19,0.892,77.7,10,7.5,50.2,""nick"",""A"",6348.53,3000,TRUE,TRUE"
"239,""Presbytis rubicunda"",""Tanjung Puting (Kalimantan)"",""Orangutan research centre"",12.3333333333333,0.844,63,25,6.11111111111111,52,""nick"",""A"",6348.53,3000,TRUE,TRUE"
"240,""Presbytis siamensis"",""Krau"",""Kuala Lompat"",87.1,0.68,27.5,79,13.3111111111111,48.2666666666667,""nick"",""A"",5895.06,2000,TRUE,TRUE"
"241,""Presbytis siamensis"",""Krau"",""Kuala Lompat"",87.1,0.766,31.3,50,13.3111111111111,48.2666666666667,""nick"",""A"",5895.06,2000,TRUE,TRUE"
"242,""Presbytis siamensis"",""Sungai Tekam"",""13C"",39.0076923076923,0.614,14,15,14,54,""nick"",""A"",5895.06,2572,TRUE,TRUE"
"243,""Presbytis siamensis"",""Sungai Tekam"",""13C"",39.0076923076923,0.614,15,32,14,54,""nick"",""A"",5895.06,2572,TRUE,TRUE"
"244,""Presbytis siamensis"",""Sungai Tekam"",""C13C, after logging"",61.4,0.614,17,2,14,42,""nick"",""A"",5895.06,2572,TRUE,TRUE"
"245,""Presbytis siamensis"",""Sungai Tekam"",""C13C, after logging"",61.4,0.614,20,4,14,42,""nick"",""A"",5895.06,2572,TRUE,TRUE"
"246,""Presbytis siamensis"",""Sungai Tekam"",""C13C, before logging"",47.4,0.614,14,15,14,60,""nick"",""A"",5895.06,2572,TRUE,TRUE"
"247,""Presbytis siamensis"",""Sungai Tekam"",""C13C, before logging"",47.4,0.614,15,32,14,60,""nick"",""A"",5895.06,2572,TRUE,TRUE"
"248,""Propithecus verreauxi"",""Kirindy"",""German Primate Centre"",51.5666666666667,NA,7.9,50.1,6,NA,""fiona"",""A"",3588.26,889,FALSE,TRUE"
"249,""Rhinopithecus roxellana"",""Zhouzhi NNR"",""Yuhuangmiao (East ridge pop)"",7.2,1.332,1830,25,112,NA,""fiona"",""ST"",13456.8,980,TRUE,TRUE"
"250,""Rhinopithecus roxellana"",""Zhouzhi NNR "",""Yuhuangmiao (west ridge pop)"",7.2,1.332,1525,30,239.4625,NA,""fiona"",""ST"",13456.8,980,TRUE,TRUE"
"251,""Saguinus fuscicollis"",""Cachoeira Samuel (Rondonia)"",""Cachoeira Samuel power stn"",20.0028205128205,1.312,44,21,8,79.4,""nick"",""A"",393.99,2250,TRUE,TRUE"
"252,""Saguinus fuscicollis"",""Manu"",""Cocha Cashu"",16,1.22,30,1,3.83333333333333,31,""nick"",""A"",393.99,2080,TRUE,TRUE"
"253,""Saguinus fuscicollis"",""Manu"",""Cocha Cashu"",13.4,1.22,30,0,3.83333333333333,31,""nick"",""A"",393.99,2080,TRUE,TRUE"
"254,""Saguinus fuscicollis"",""Mucden"",""(Mucden)"",18.85,1.54644444444444,33.4,79,4.3,55.2833333333333,""nick"",""A"",393.99,1747,TRUE,TRUE"
"255,""Saguinus geoffroyi"",""Rodman"",""Rodman Naval Ammunition Depot"",27,2.061,26,13,4.14,49,""nick"",""A"",492.5,1727,TRUE,TRUE"
"256,""Saguinus imperator"",""Manu"",""Cocha Cashu"",12,1.42,30,1,4,23.35,""nick"",""A"",407.91,2080,TRUE,TRUE"
"257,""Saguinus imperator"",""Manu"",""Cocha Cashu"",8.7,1.42,30,0,4,23.35,""nick"",""A"",407.91,2080,TRUE,TRUE"
"258,""Saguinus mystax"",""Iquitos islands"",""Padre Isla"",23.7,1.50933333333333,6.8,38,7,44.5,""nick"",""A"",555.87,2846,TRUE,TRUE"
"259,""Saguinus niger"",""Fazenda Vit¢ria"",""(Fazenda Vit¢ria)"",16.365,NA,15.6,21.7,6,NA,""fiona"",""A"",500,1900,FALSE,TRUE"
"260,""Saguinus oedipus"",""Tolu"",""(Tolu)"",50,1.7,10,25,4,NA,""nick"",""A"",462.04,750,TRUE,TRUE"
"261,""Saguinus oedipus"",""Tolu"",""(Tolu)"",55,1.7,7.8,27,4,NA,""nick"",""A"",462.04,750,TRUE,TRUE"
"262,""Saguinus oedipus"",""Tolu"",""(Tolu)"",125,1.7,7.8,20,9,NA,""nick"",""A"",462.04,750,TRUE,TRUE"
"263,""Saimiri boliviensis"",""Manu"",""Cocha Cashu"",60,NA,250,3.6,35,17.2,""nick"",""A"",799.45,2080,FALSE,TRUE"
"264,""Saimiri boliviensis"",""Manu"",""Cocha Cashu"",72,NA,250,77,35,17.2,""nick"",""A"",799.45,2080,FALSE,TRUE"
"265,""Saimiri oerstedii"",""Barqueta"",""Hacienda Barqueta"",130,3.35,17.5,90,23,NA,""nick"",""A"",714.18,2469,TRUE,TRUE"
"266,""Semnopithecus dussumieri"",""Dharwar (Karnataka)"",""20km"",44.565,1.207,18,50.5,17,25,""nick"",""ST"",11352.97,867.5,TRUE,TRUE"
"267,""Semnopithecus dussumieri"",""Dharwar (Karnataka)"",""20km"",44.565,1.207,26.6,56,23,25,""nick"",""ST"",11352.97,867.5,TRUE,TRUE"
"268,""Semnopithecus entellus"",""Gir forest (Gujarat)"",""(Gir)"",127,1.28433333333333,17,0,25.5666666666667,30,""nick"",""ST"",12679.29,889,TRUE,TRUE"
"269,""Semnopithecus entellus"",""Gir forest (Gujarat)"",""(Gir)"",127,1.28433333333333,23,0,25.5666666666667,30,""nick"",""ST"",12679.29,889,TRUE,TRUE"
"270,""Semnopithecus entellus"",""Kanha"",NA,34.6266666666667,1.28433333333333,75,50,23.9556790123457,24,""fiona"",""ST"",12679.29,1600,TRUE,TRUE"
"271,""Simias concolor"",""Siberut (Mentawai Islands)"",""Grukna"",220,NA,3.5,8,6,27.5,""nick"",""A"",7393.9,4217,FALSE,TRUE"
"272,""Symphalangus syndactylus"",""?Malaysia"",NA,11.2635833333333,0.809666666666667,32,30,3.76742857142857,60,""fiona"",""A"",10839,NA,FALSE,FALSE"
"273,""Tarsius bancanus"",""Semongok (Sarawak)"",""(Semongok)"",77.5,1.8,1.25,10,3,0,""nick"",""A"",114.39,3905,TRUE,TRUE"
"274,""Trachypithecus johnii"",""Kakachi"",NA,70.8,0.5,24,10,17,26.3,""fiona"",""A"",10595.08,3084,TRUE,TRUE"
"275,""Trachypithecus obscurus"",""Krau"",""Kuala Lompat"",45.85,0.559,33,3,13.55,41.15,""nick"",""A"",7247.88,2000,TRUE,TRUE"
"276,""Trachypithecus pileatus"",""Madhupur"",""(Madhupur)"",13.2,0.2245,50,84,7.88181818181818,24.4,""nick"",""A"",11219.93,2280,TRUE,TRUE"
"277,""Trachypithecus pileatus"",""Madhupur"",""(Madhupur)"",92,0.2245,24,100,13,33,""fiona"",""A"",11219.93,2280,TRUE,TRUE"
"278,""Trachypithecus poliocephalus"",""Fusui (Guangxi)"",""LGS (Fusui reserve)"",2.965,0.6,26,19.2,7.5,NA,""nick"",""A"",8593.55888888889,1548,TRUE,TRUE"
"279,""Trachypithecus poliocephalus"",""Fusui (Guangxi)"",""LGS (Fusui reserve)"",2.965,0.6,27,0,12,NA,""nick"",""A"",8593.55888888889,1548,TRUE,TRUE"
"280,""Trachypithecus poliocephalus"",""Fusui (Guangxi)"",""LGS (Fusui reserve)"",2.965,0.6,28,95,4.5,NA,""nick"",""A"",8593.55888888889,1548,TRUE,TRUE"
"281,""Trachypithecus poliocephalus"",""Fusui (Guangxi)"",""LGS (Fusui reserve)"",2.965,0.6,32,0,6,NA,""nick"",""A"",8593.55888888889,1548,TRUE,TRUE"
"282,""Trachypithecus poliocephalus"",""Fusui (Guangxi)"",""LGS (Fusui reserve)"",2.965,0.6,32,48.3,14.5,NA,""nick"",""A"",8593.55888888889,1548,TRUE,TRUE"
"283,""Trachypithecus poliocephalus"",""Fusui (Guangxi)"",""LGS (Fusui reserve)"",2.965,0.6,36,83.7,9.5,NA,""nick"",""A"",8593.55888888889,1548,TRUE,TRUE"
"284,""Trachypithecus poliocephalus"",""Fusui (Guangxi)"",""LGS (Fusui reserve)"",2.965,0.6,48,87.1,10,NA,""nick"",""A"",8593.55888888889,1548,TRUE,TRUE"
"285,""Varecia rubra"",""Masoala"",""Ambatonakolahy forest"",36.85,0.436,23.3,10.8,5,73.9,""nick"",""A"",3872.6,4200,TRUE,TRUE"
"286,""Varecia rubra"",""Masoala"",""Ambatonakolahy forest"",36.85,0.436,25.8,9.7,6,73.9,""nick"",""A"",3872.6,4200,TRUE,TRUE"
