",""MSW3sp"",""Site"",""Plot"",""PD"",""DR"",""HR"",""ov"",""GS"",""FS"",""miner"",""Status"",""mass"",""rain"",""multi1"",""multi2"""
"36,""Callicebus personatus"",""Linhares (ES)"",""(Linhares)"",10.075,1,10.7,20,3.97,56,""nick"",""A"",1390.8,1051,TRUE,TRUE"
"37,""Callicebus personatus"",""Linhares (ES)"",""(Linhares)"",10.075,1,12.3,20,3.97,56,""nick"",""A"",1390.8,1051,TRUE,TRUE"
"38,""Callithrix aurita"",""Cunha Nucleus (SP)"",""Serro do Mar"",30,0.9588,35.3,15,8.5,81.5,""nick"",""A"",386.2,2000,TRUE,TRUE"
"39,""Callithrix flaviceps"",""Fazenda Montes Claros (MG)"",""Estacao Biologica de Caratinga"",40,1.2225,35.5,80,13,80.12,""nick"",""A"",372.97,1120,TRUE,TRUE"
"40,""Callithrix intermedia"",""Rio Aripuana (MT)"",""right bank, opposite Dardanelos"",54.1,1.459,28.25,22,10,86.4,""nick"",""A"",345.224166666667,2082,TRUE,TRUE"
"41,""Callithrix jacchus"",""Nisia Floresta (Rio Grande del Norte)"",""EFLEX-IBAMA"",804.833333333333,0.912,5.2,46,7,48.05,""nick"",""A"",290.21,1229,TRUE,TRUE"
"42,""Callithrix jacchus"",""Nisia Floresta (Rio Grande del Norte)"",""EFLEX-IBAMA"",804.833333333333,1.181,4.6,72,13,48.05,""nick"",""A"",290.21,1229,TRUE,TRUE"
"43,""Callithrix jacchus"",""Nisia Floresta (Rio Grande del Norte)"",""EFLEX-IBAMA"",804.833333333333,1.243,3.9,86,12,48.05,""nick"",""A"",290.21,1229,TRUE,TRUE"
"44,""Callithrix jacchus"",""Tapacura (Pernambuco)"",""Tapacura field station"",588,0.5655,2.24,14,8,48.05,""nick"",""A"",290.21,1117,TRUE,TRUE"
"45,""Callithrix jacchus"",""Tapacura (Pernambuco)"",""Tapacura field station"",663,0.606,2.08,15,8,48.05,""nick"",""A"",290.21,1117,TRUE,TRUE"
"46,""Callithrix jacchus"",""Tapacura (Pernambuco)"",""Tapacura field station"",679,0.978,3.52,18,11,48.05,""nick"",""A"",290.21,1117,TRUE,TRUE"
"47,""Callithrix jacchus"",""Tapacura (Pernambuco)"",""Tapacura field station"",700,0.15,0.85,31,10.5,48.05,""nick"",""A"",290.21,1117,TRUE,TRUE"
"48,""Callithrix jacchus"",""Tapacura (Pernambuco)"",""Tapacura field station"",804.833333333333,0.5655,2.5,0,9.63636363636364,48.05,""nick"",""A"",290.21,1117,TRUE,TRUE"
"49,""Callithrix jacchus"",""Tapacura (Pernambuco)"",""Tapacura field station"",804.833333333333,0.5655,6.5,0,9.63636363636364,48.05,""nick"",""A"",290.21,1117,TRUE,TRUE"
"50,""Callithrix kuhlii"",""Lemos Maia (Bahia)"",""CEPEC"",46,0.975,13,50,5,86.1,""nick"",""A"",374.99,2037,TRUE,TRUE"
"51,""Callithrix pygmaea"",""Rio Maniti"",""R. Maniti & Hatun Quabrada"",51.5,0.29,0.35,0,5.63,77,""nick"",""A"",123.94,2830,TRUE,TRUE"
"52,""Cebus albifrons"",""Manu"",""Cocha Cashu"",35,1.82,150,3.5,8.5,34.85,""nick"",""A"",2509.68,2080,TRUE,TRUE"
